Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
1220,21,4.48,13.43,12.5,1264.25,316
1230,22,4.83,12.97,12.51,1275.29,318
1240,20,4.15,11.97,12.5,1279.44,318
1250,21,4.48,12.67,12.65,1287.74,321
1260,23,5.21,12.62,12.18,1295.18,323
1270,23,5.21,12.63,12.29,1318.59,328
1280,24,5.6,12.19,12.26,1321.39,331
1290,22,4.83,13.07,12.43,1341.49,337
1300,26,6.4,12.53,12.46,1355.7,341
1310,25,6.0,11.98,12.54,1367.1,344
1320,24,5.6,12.49,12.32,1378.5,346
1330,22,4.83,10.7,12.23,1389.16,348
1340,23,5.21,11.87,12.25,1402.0,350
1350,23,5.21,13.08,12.31,1419.86,353
1360,25,6.0,11.47,12.19,1427.88,357
1370,24,5.6,12.27,12.25,1433.48,361
1380,23,5.21,12.69,12.33,1451.53,366
1390,24,5.6,11.43,11.96,1464.56,368
1400,24,5.6,12.47,12.22,1475.18,372
1410,24,5.6,12.2,12.48,1488.4,374
1420,21,4.48,11.89,12.41,1495.66,375
1430,18,3.58,11.15,12.12,1499.51,377
1440,20,4.15,12.87,12.74,1505.59,379
1450,26,6.4,12.51,12.31,1524.09,384
1460,26,6.4,11.46,12.17,1530.29,388
1470,29,7.52,11.92,12.13,1543.66,390
1480,28,7.17,13.03,12.5,1562.62,392
1490,29,7.52,11.87,12.48,1580.53,396
1500,29,7.52,11.7,12.37,1598.62,402
1510,30,7.85,11.34,12.02,1623.13,404
1520,30,7.85,12.15,12.31,1654.36,407
1530,28,7.17,12.71,12.19,1673.48,412
1540,26,6.4,11.67,12.28,1692.47,416
1550,27,6.79,12.14,12.14,1708.06,418
1560,28,7.17,11.41,12.07,1728.41,421
1570,30,7.85,12.14,12.32,1739.69,426
1580,30,7.85,12.48,12.22,1760.06,430
1590,30,7.85,12.4,12.5,1792.89,433
1600,26,6.4,12.32,12.44,1809.47,435
1610,23,5.21,11.83,11.82,1831.47,439
1620,23,5.21,12.21,12.17,1847.1,443
1630,22,4.83,12.28,12.3,1859.19,443
1640,22,4.83,11.85,12.06,1870.92,444
1650,20,4.15,12.01,12.2,1877.5,445
1660,20,4.15,10.6,11.86,1883.28,445
1670,20,4.15,11.69,12.19,1894.32,446
1680,19,3.85,12.43,12.4,1904.1,448
1690,20,4.15,11.94,12.29,1910.32,449
1700,22,4.83,11.44,12.34,1917.58,453
1710,26,6.4,11.69,12.25,1939.26,456
1720,27,6.79,12.18,12.34,1946.05,461
1730,27,6.79,12.76,12.55,1959.61,463
1740,24,5.6,12.52,12.81,1974.22,467
1750,20,4.15,12.89,12.58,1986.91,471
1760,19,3.85,12.75,12.55,1988.98,472
1770,22,4.83,12.31,12.58,2002.63,474
1780,22,4.83,12.85,12.52,2012.67,476
1790,21,4.48,12.38,12.61,2019.57,477
1800,22,4.83,11.35,12.41,2024.23,478
1810,23,5.21,11.16,11.88,2036.51,482
1820,24,5.6,11.58,12.42,2044.53,484
1830,25,6.0,12.59,12.76,2050.13,486
1840,23,5.21,12.41,12.49,2060.94,492
1850,26,6.4,12.01,12.3,2086.56,498
1860,27,6.79,11.56,12.39,2100.89,500
1870,29,7.52,12.04,12.34,2108.23,502
1880,27,6.79,12.75,12.9,2122.34,505
1890,25,6.0,12.48,12.68,2155.51,510
1900,26,6.4,11.02,12.47,2166.52,513
1910,24,5.6,12.17,12.54,2175.12,520
1920,28,7.17,11.96,12.38,2192.22,522
1930,25,6.0,12.06,12.61,2219.75,526
1940,23,5.21,11.97,12.75,2231.35,530
1950,27,6.79,11.05,12.22,2239.96,533
1960,28,7.17,12.62,12.63,2261.06,534
1970,24,5.6,11.08,12.4,2270.64,536
1980,24,5.6,12.5,12.47,2273.44,536
1990,18,3.58,12.97,12.24,2289.96,539
2000,17,3.34,11.68,12.5,2296.89,540
2010,19,3.85,11.67,12.65,2300.61,541
2020,20,4.15,12.71,12.06,2306.38,542
2030,24,5.6,12.33,12.64,2319.8,546
2040,23,5.21,11.81,12.61,2324.82,548
2050,26,6.4,11.85,11.74,2337.01,554
2060,22,4.83,12.57,12.59,2350.84,561
2070,22,4.83,12.17,12.28,2357.74,563
2080,19,3.85,11.02,12.28,2359.67,564
2090,20,4.15,11.35,12.1,2371.37,565
2100,19,3.85,12.68,12.54,2379.39,567
2110,21,4.48,12.35,12.51,2383.24,569
2120,22,4.83,11.92,12.81,2388.09,571
2130,23,5.21,11.72,12.51,2398.13,572
2140,25,6.0,11.77,12.28,2413.78,575
2150,24,5.6,12.65,12.56,2428.38,580
2160,23,5.21,11.98,12.1,2433.98,580
2170,22,4.83,12.53,12.36,2446.82,586
2180,23,5.21,12.21,12.36,2457.05,590
2190,26,6.4,11.93,12.12,2472.05,591
2200,26,6.4,11.91,12.2,2488.05,595
2210,27,6.79,11.6,12.26,2503.84,599
2220,28,7.17,12.51,12.5,2527.2,605
2230,27,6.79,12.66,12.33,2537.94,608
2240,24,5.6,11.6,11.71,2557.3,610
2250,27,6.79,10.61,11.89,2566.7,617
2260,29,7.52,12.2,11.9,2599.42,619
2270,29,7.52,12.02,12.1,2610.86,622
2280,30,7.85,11.91,12.16,2626.23,625
2290,27,6.79,11.52,11.97,2640.91,628
2300,28,7.17,11.63,11.92,2658.44,636
2310,29,7.52,11.1,11.74,2679.74,640
2320,27,6.79,11.96,12.31,2686.9,643
2330,27,6.79,12.31,12.19,2712.69,646
2340,28,7.17,11.88,12.17,2733.43,652
2350,21,4.48,12.38,12.41,2744.28,656
2360,20,4.15,11.83,11.82,2748.43,659
2370,20,4.15,11.8,12.18,2756.89,663
2380,21,4.48,12.44,12.05,2766.21,663
2390,22,4.83,12.67,12.3,2778.5,666
2400,19,3.85,12.02,12.25,2782.84,667
2410,20,4.15,11.84,11.83,2790.69,668
2420,21,4.48,11.2,11.58,2799.16,671
2430,24,5.6,11.3,11.55,2810.93,673
2440,24,5.6,12.94,12.25,2816.93,676
2450,25,6.0,12.99,12.1,2831.93,679
2460,26,6.4,11.99,11.98,2841.73,682
2470,23,5.21,12.25,11.73,2855.54,686
2480,22,4.83,13.02,12.07,2873.59,690
2490,21,4.48,11.38,11.98,2878.24,690
2500,20,4.15,12.24,11.99,2886.88,691
2510,20,4.15,12.55,12.12,2896.96,691
2520,19,3.85,11.44,12.06,2906.59,691
2530,17,3.34,11.85,11.94,2908.26,693
2540,16,3.13,11.6,12.12,2912.96,696
2550,17,3.34,12.34,12.01,2916.2,697
2560,17,3.34,11.49,11.9,2929.81,701
2570,17,3.34,12.39,12.37,2933.16,701
2580,18,3.58,12.36,12.23,2938.53,703
2590,19,3.85,12.24,12.29,2942.4,704
2600,16,3.13,11.77,12.04,2951.97,705
2610,20,4.15,11.19,11.69,2962.49,706
2620,19,3.85,12.64,12.15,2966.34,707
2630,20,4.15,12.37,12.14,2970.82,711
2640,20,4.15,11.51,11.91,2980.77,712
2650,22,4.83,12.66,12.34,2992.64,714
2660,22,4.83,11.49,11.88,2997.66,716
2670,20,4.15,12.19,12.17,3004.56,719
2680,19,3.85,11.83,12.44,3012.44,720
2690,20,4.15,12.27,12.03,3026.97,725
2700,21,4.48,11.45,11.96,3029.05,727
2710,21,4.48,11.91,12.09,3035.95,729
2720,23,5.21,13.01,12.26,3055.36,736
2730,23,5.21,12.34,12.54,3063.37,740
2740,26,6.4,11.54,12.2,3073.79,741
2750,28,7.17,12.41,12.35,3084.9,745
2760,30,7.85,13.01,12.73,3119.38,749
2770,29,7.52,11.43,12.22,3139.12,756
2780,28,7.17,12.59,12.3,3161.15,760
2790,27,6.79,12.48,12.66,3182.8,762
2800,26,6.4,11.12,12.06,3206.17,766
2810,26,6.4,12.22,12.33,3226.54,770
2820,24,5.6,12.16,12.07,3243.34,774
2830,23,5.21,12.23,12.37,3254.35,777
2840,21,4.48,12.18,12.33,3261.97,779
2850,22,4.83,11.81,12.38,3274.95,781
2860,22,4.83,11.21,12.44,3286.34,782
2870,21,4.48,12.36,12.24,3297.54,784
2880,20,4.15,12.0,12.5,3301.69,785
2890,15,2.95,11.95,12.05,3310.08,787
2900,18,3.58,12.48,12.41,3318.62,791
2910,19,3.85,11.81,12.57,3327.98,791
2920,22,4.83,12.25,12.03,3330.4,795
2930,21,4.48,12.9,12.52,3339.36,795
2940,22,4.83,12.68,12.61,3356.66,800
2950,23,5.21,12.3,12.17,3367.09,803
2960,22,4.83,12.73,12.15,3379.18,806
2970,23,5.21,12.48,12.3,3387.0,809
2980,22,4.83,11.46,12.08,3401.88,810
2990,21,4.48,12.38,12.21,3413.61,813
3000,22,4.83,12.65,12.6,3428.5,818
3010,20,4.15,11.49,12.61,3432.99,819
3020,22,4.83,12.23,11.89,3435.41,819
3030,24,5.6,12.06,12.17,3451.06,822
3040,23,5.21,12.17,12.41,3476.94,823
3050,24,5.6,11.21,12.11,3479.74,826
3060,23,5.21,11.94,12.18,3490.35,829
3070,20,4.15,12.59,12.24,3501.06,834
3080,21,4.48,11.8,12.39,3507.78,835
3090,20,4.15,12.15,11.98,3517.71,838
3100,18,3.58,12.0,11.95,3523.35,839
3110,20,4.15,12.03,12.47,3527.22,840
3120,23,5.21,12.14,12.11,3531.7,841
3130,26,6.4,11.9,12.07,3555.7,845
3140,28,7.17,11.96,12.22,3566.07,851
3150,28,7.17,11.79,12.41,3587.57,855
3160,29,7.52,11.88,11.76,3602.61,859
3170,27,6.79,12.31,12.03,3620.33,864
3180,27,6.79,12.63,12.36,3644.85,870
3190,23,5.21,11.91,12.12,3660.05,873
3200,25,6.0,11.95,12.01,3671.45,877
3210,25,6.0,12.94,12.19,3687.05,879
3220,23,5.21,12.99,12.14,3701.65,882
3230,18,3.58,11.57,11.96,3715.86,884
3240,20,4.15,11.74,11.89,3717.65,886
3250,23,5.21,12.32,11.98,3728.71,888
3260,22,4.83,12.24,11.97,3741.93,890
3270,22,4.83,11.65,12.16,3756.14,892
3280,20,4.15,12.48,11.99,3760.62,893
3290,20,4.15,12.73,12.29,3774.26,895
3300,22,4.83,11.36,12.08,3776.5,895
3310,19,3.85,12.61,12.0,3787.58,898
3320,17,3.34,12.53,12.26,3796.09,900
3330,17,3.34,12.25,12.13,3802.91,901
3340,16,3.13,12.04,12.08,3806.04,904
3350,19,3.85,12.65,12.26,3809.76,908
3360,22,4.83,11.84,11.76,3818.41,908
3370,21,4.48,12.36,12.29,3832.2,911
3380,20,4.15,13.05,12.48,3841.0,912
3390,22,4.83,11.99,12.2,3850.13,914
3400,21,4.48,11.15,12.02,3859.09,915
3410,21,4.48,11.89,12.36,3867.74,919
3420,24,5.6,11.62,12.2,3880.96,926
3430,27,6.79,12.19,12.12,3890.56,931
3440,27,6.79,11.89,12.2,3900.74,934
3450,25,6.0,12.66,12.22,3913.93,939
3460,24,5.6,11.92,12.09,3939.73,945
3470,23,5.21,12.28,12.09,3947.55,950
3480,23,5.21,11.21,12.19,3964.49,951
3490,22,4.83,11.34,12.01,3972.7,956
3500,23,5.21,12.51,12.17,3985.72,959
3510,23,5.21,11.22,11.95,3993.16,963
3520,22,4.83,11.44,12.18,4007.5,965
3530,22,4.83,11.25,11.81,4019.41,967
3540,21,4.48,11.98,12.16,4031.34,968
3550,21,4.48,11.47,11.74,4033.58,969
3560,20,4.15,11.66,11.96,4042.38,972
