Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
1380,20,4.15,12.87,12.39,1522.32,149
1390,21,4.48,10.86,12.01,1530.62,149
1400,18,3.58,12.46,12.17,1536.41,152
1410,19,3.85,12.06,12.28,1545.37,153
1420,18,3.58,11.3,12.25,1550.88,153
1430,17,3.34,11.6,12.14,1554.34,154
1440,20,4.15,12.22,12.57,1556.27,155
1450,25,6.0,11.84,12.11,1578.13,157
1460,25,6.0,11.28,12.27,1581.13,160
1470,32,8.42,11.41,12.36,1599.72,161
1480,30,7.85,12.38,12.23,1616.0,162
1490,28,7.17,11.59,12.41,1637.65,163
1500,29,7.52,11.62,12.32,1651.61,166
1510,31,8.15,11.84,12.14,1680.56,167
1520,32,8.42,12.75,12.32,1709.22,169
1530,29,7.52,12.11,12.31,1737.57,171
1540,28,7.17,11.31,12.31,1758.46,174
1550,28,7.17,12.27,12.37,1779.58,177
1560,31,8.15,11.7,11.96,1803.55,178
1570,33,8.66,12.12,12.54,1820.7,182
1580,34,8.87,12.59,12.54,1851.31,184
1590,31,8.15,12.59,12.4,1877.19,184
1600,28,7.17,12.27,12.34,1898.86,185
1610,24,5.6,11.63,12.06,1922.57,186
1620,22,4.83,11.45,12.11,1936.0,188
1630,21,4.48,12.28,12.29,1949.79,189
1640,20,4.15,12.02,12.34,1956.02,189
1650,19,3.85,11.45,12.19,1965.71,189
1660,19,3.85,12.1,12.19,1969.43,190
1670,20,4.15,12.41,12.21,1977.9,190
1680,19,3.85,12.55,12.45,1988.12,190
1690,20,4.15,10.83,12.02,1995.31,191
1700,24,5.6,12.39,12.6,2008.53,193
1710,28,7.17,12.18,12.27,2023.91,195
1720,29,7.52,12.11,12.28,2038.77,196
1730,28,7.17,12.98,12.69,2053.6,198
1740,24,5.6,12.5,12.75,2066.19,199
1750,20,4.15,12.59,12.53,2082.46,202
1760,19,3.85,12.75,12.87,2084.54,203
1770,21,4.48,12.02,12.6,2097.65,203
1780,19,3.85,13.01,12.52,2105.51,203
1790,19,3.85,12.13,12.5,2107.3,203
1800,21,4.48,11.95,12.65,2111.46,205
1810,23,5.21,11.48,12.22,2120.78,205
1820,24,5.6,11.22,12.26,2134.2,206
1830,23,5.21,12.53,12.74,2139.41,206
1840,21,4.48,11.77,12.67,2148.54,211
1850,23,5.21,11.42,11.94,2166.83,212
1860,24,5.6,12.2,12.59,2184.43,214
1870,28,7.17,11.72,12.37,2187.83,214
1880,24,5.6,12.33,12.56,2196.83,214
1890,22,4.83,12.39,12.68,2224.83,215
1900,24,5.6,11.44,12.49,2238.05,217
1910,24,5.6,12.09,12.45,2246.66,220
1920,25,6.0,12.31,12.58,2258.26,221
1930,24,5.6,11.84,12.53,2285.26,222
1940,22,4.83,11.47,12.57,2290.09,223
1950,27,6.79,11.72,12.13,2298.51,224
1960,27,6.79,12.77,12.8,2305.85,225
1970,25,6.0,10.65,12.09,2331.63,225
1980,22,4.83,12.91,12.75,2334.43,226
1990,18,3.58,13.16,12.41,2352.33,228
2000,16,3.13,11.44,12.23,2355.48,229
2010,15,2.95,11.42,12.59,2359.91,230
2020,16,3.13,11.7,12.11,2362.86,230
2030,19,3.85,12.01,12.46,2368.13,230
2040,19,3.85,11.8,12.54,2373.52,231
2050,25,6.0,12.31,11.87,2381.57,236
2060,23,5.21,12.57,12.55,2389.77,237
2070,24,5.6,12.47,12.51,2398.77,238
2080,22,4.83,12.66,12.5,2403.62,239
2090,24,5.6,13.03,12.51,2429.53,241
2100,23,5.21,12.95,12.21,2437.93,243
2110,24,5.6,12.85,12.55,2445.76,243
2120,23,5.21,11.42,12.5,2453.96,244
2130,22,4.83,12.79,12.71,2469.79,244
2140,24,5.6,12.29,12.2,2482.63,245
2150,22,4.83,12.62,12.38,2495.09,246
2160,21,4.48,12.88,12.43,2497.17,246
2170,21,4.48,12.69,12.34,2505.96,250
2180,21,4.48,12.05,12.29,2518.91,251
2190,24,5.6,12.73,12.42,2532.13,251
2200,24,5.6,12.82,12.25,2538.13,251
2210,23,5.21,11.78,12.14,2547.8,252
2220,24,5.6,13.06,12.57,2565.68,253
2230,24,5.6,12.45,12.12,2584.5,256
2240,23,5.21,11.5,11.75,2587.11,256
